Datei 1,Datei 2,Distanz
quantum_log_Ethik und Moral_act_nq4_20250418035832_00b2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035832_00b2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0980.json,2.0000
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035750_b96f.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035832_4971.json,2.0000
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035752_7c16.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_8921.json,2.0000
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035757_08d9.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035810_a5ca.json,2.0000
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035757_08d9.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035752_3a6a.json,2.0000
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035804_c245.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_3843.json,2.0000
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_330a.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,2.0000
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_330a.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_8921.json,2.0000
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_330a.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035752_3a6a.json,2.0000
